,6b1e66ce-f33a-4265-831a-753eb1eb5d04,b186fa96-f99f-496b-9abf-cb7c4666f4a5,ef7456b8-ad00-44e1-adc7-07bcc53cbb90,e1109ddc-ec68-4bee-a91f-f56f7d2a850d,3b4ef5dd-ea86-4948-b136-2b21059a77e5,dc0b404c-be4c-40d1-9abb-eedb8bd05d11,50132013-0b81-4670-8fec-ed4d93e0f905,b6cfdd7a-0151-4a34-b589-df58979b0272,e40d9e25-6204-4ce8-a613-43f3e594b67e,b4929a43-51a1-41a0-af84-07c8af21e88c,662e59d7-82c5-4cdb-922b-bb2693e24cdc,3f26b8ee-a454-402f-91a2-e17f1dc61cc7,00d91680-8c2e-4953-bfb0-da8813d3c7ce,e348056c-d44c-43a0-807b-b795fb381d65,057a2859-7e2c-459f-aee8-6393bd268bb3,f53b9cb5-e243-4085-a1f8-b2fe4127da32,3ea84f16-5e77-4b56-97f7-63e466aaf279,1250b4b7-1d36-4f70-9c99-1cbf14408c31,abcd9b29-ac72-496a-92eb-df6dd142b3a6,a68bf236-bd11-4987-841a-8fa0116fc24e,fdc6d3a0-55e8-4f82-88ad-d55d325fcad6,cb1e21ca-7903-4fbf-b3de-763953dc208d,84451b0a-d328-4bd7-969c-ab191eafeffc,4e7e21b0-0dca-459b-936b-82245b51d5b0,9fbd3015-3c4e-40bb-8d93-f1133df352ee,3a4a6087-05ce-437a-aa2c-747fb5e12e8c,737bb6f5-bb08-4a69-b8df-f08544716cf8,0e983af9-3d67-44c7-aaaf-e99de1017d85,2294f19c-71c5-426d-a0de-57c1a5a748a8,430e7326-325b-451a-8408-7372c652f5f2,6182a9e2-5820-4d99-99ca-f200523ba3a5,b13c0171-8789-4f6e-88e1-3294f03b1ffe,
56,,,,,5,,,,,,11,12,,,,16,,,,20,21,,23,,,,,,,,,,
57,,,,,,,,,,,11,12,,14,,16,,,,20,21,,23,,,,,,,,,,
58,,,,,,,,,,,11,12,,,15,16,,,,20,21,,23,,,,,,,,,,
59,,,,,,,,,,,11,12,,,,16,,,,20,21,,23,,,,,,,,,,
60,,,,,,,,,,,11,12,,,,16,17,,,20,21,,23,,,,,,,,,,
61,,,,,,,,,,,11,12,,,,16,,18,,20,21,,23,,,,,,,,,,
62,,,,,,,,,9,,11,12,,,,16,,,,20,21,,23,,,,,,,,,,
63,,,,,,,,,,,11,12,,,,16,,,19,20,21,,23,,,26,,,,,,,
64,,,,,,,,,,,11,12,,,,16,,,,,21,,23,,,,27,,,30,,,
65,,,,,,,,,,,11,12,,,,16,,,,20,,,23,,,,,,,,,,
66,,2,,,,6,,,,,11,12,,,,16,,,,20,21,22,,,25,,,,,,,,
67,,,,,5,,,,,,11,12,,,,16,,,,20,21,,23,,,,,,,,,,
68,,,,,,,,,,,11,12,,14,,16,,,,20,21,,23,,,,,,,,,,
69,,,,,,,,,,,11,12,,,15,16,,,,20,21,,23,,,,,,,,,,
70,,,,,,,,,,,11,12,,,,16,,,,20,21,,23,,,,,,,,,,
71,,,,,,,,,,,11,12,,,,16,17,,,20,21,,23,,,,,,,,,,
72,,,,,,,,,,,11,12,,,,16,,18,,20,21,,23,,,,,,,,,,
73,,,,,,,,,9,,11,12,,,,16,,,,20,21,,23,,,,,,,,,,
74,,,,,,,,,,,11,12,,,,16,,,19,20,21,,23,,,26,,,,,,,
75,,,,,,,,,,,11,12,,,,16,,,,,21,,23,,,,27,,,30,31,,
